epsilonParetoRank,paretoCriterion,rank,overallScore,modelUncertaintyBand,policyDelivery,publicAlignment,rightsSafeguard,captureResistance,legitimacy,complexityScore,resilienceFloor,legislatureKey,legislature,reviewKey,review,antiCaptureKey,antiCapture,tradeoffNote
91,epsilon,1540,0.614,0.100,0.745,0.505,0.721,0.478,0.582,0.639,0.478,expanded-portfolio-hybrid-legislature,Expanded portfolio hybrid legislature,automatic-merits-follow-up,Automatic merits follow-up for emergency relief,open-access-lobbying,Open access lobbying,strong delivery; weak subsystem floor
92,epsilon,1548,0.614,0.093,0.583,0.519,0.698,0.653,0.595,0.754,0.635,citizen-initiative-referendum,Citizen initiative and referendum,automatic-merits-follow-up,Automatic merits follow-up for emergency relief,full-anti-capture-bundle,Full anti-capture bundle,balanced tradeoff
93,epsilon,1604,0.613,0.092,0.583,0.520,0.692,0.653,0.601,0.742,0.635,citizen-initiative-referendum,Citizen initiative and referendum,council-concrete-hybrid,Constitutional council with concrete-review backstop,full-anti-capture-bundle,Full anti-capture bundle,balanced tradeoff
94,epsilon,1606,0.613,0.092,0.583,0.519,0.699,0.653,0.590,0.737,0.635,citizen-initiative-referendum,Citizen initiative and referendum,remand-override-window-package,Constitutional remand with override window,full-anti-capture-bundle,Full anti-capture bundle,balanced tradeoff
95,epsilon,1632,0.613,0.093,0.583,0.520,0.697,0.653,0.590,0.743,0.635,citizen-initiative-referendum,Citizen initiative and referendum,constitutional-remand,Constitutional remand before invalidation,full-anti-capture-bundle,Full anti-capture bundle,balanced tradeoff
96,epsilon,1638,0.613,0.092,0.583,0.521,0.689,0.653,0.599,0.744,0.635,citizen-initiative-referendum,Citizen initiative and referendum,constitutional-council,Pre-enactment constitutional council,full-anti-capture-bundle,Full anti-capture bundle,balanced tradeoff
97,epsilon,1764,0.612,0.100,0.745,0.502,0.713,0.478,0.576,0.641,0.478,expanded-portfolio-hybrid-legislature,Expanded portfolio hybrid legislature,randomized-merits-panels,Randomized merits panels with en banc correction,open-access-lobbying,Open access lobbying,strong delivery; weak subsystem floor
98,epsilon,1765,0.612,0.100,0.745,0.502,0.713,0.478,0.576,0.642,0.478,expanded-portfolio-hybrid-legislature,Expanded portfolio hybrid legislature,panel-en-banc,Three-judge panels with en banc correction,open-access-lobbying,Open access lobbying,strong delivery; weak subsystem floor
99,epsilon,1776,0.612,0.093,0.583,0.517,0.690,0.653,0.589,0.756,0.635,citizen-initiative-referendum,Citizen initiative and referendum,randomized-merits-panels,Randomized merits panels with en banc correction,full-anti-capture-bundle,Full anti-capture bundle,balanced tradeoff
100,epsilon,1777,0.612,0.093,0.583,0.517,0.690,0.653,0.588,0.757,0.635,citizen-initiative-referendum,Citizen initiative and referendum,panel-en-banc,Three-judge panels with en banc correction,full-anti-capture-bundle,Full anti-capture bundle,balanced tradeoff
101,epsilon,1809,0.611,0.100,0.745,0.502,0.712,0.478,0.576,0.636,0.478,expanded-portfolio-hybrid-legislature,Expanded portfolio hybrid legislature,panel-jurisdiction-safeguards,Random panels with jurisdiction safeguards,open-access-lobbying,Open access lobbying,strong delivery; weak subsystem floor
102,epsilon,1817,0.611,0.100,0.745,0.500,0.716,0.478,0.571,0.636,0.478,expanded-portfolio-hybrid-legislature,Expanded portfolio hybrid legislature,comparative-constitutional-senates,Comparative 16-seat constitutional senates,open-access-lobbying,Open access lobbying,strong delivery; weak subsystem floor
